control_id,family,title,control_text,discussion,enhancements
MP-01,Media Protection,Policy and Procedures,"Develop document and disseminate media protection policy and procedures.",Media protection policy and procedures address the controls in the MP family.,None
MP-02,Media Protection,Media Access,Restrict access to defined types of digital and non-digital media to defined personnel or roles.,System media includes digital and non-digital media including flash drives and magnetic tapes.,None
MP-06,Media Protection,Media Sanitization,"Sanitize system media prior to disposal release or reuse using defined techniques; employ mechanisms commensurate with security category.",Media sanitization applies to all digital and non-digital system media subject to disposal or reuse.,MP-06(02): Equipment testing.
MP-07,Media Protection,Media Use,"Restrict or prohibit use of defined types of system media; prohibit portable storage devices with no identifiable owner.",System media includes both digital and non-digital media.,MP-07(01): Prohibit use without owner.
PE-01,Physical and Environmental Protection,Policy and Procedures,"Develop document and disseminate physical and environmental protection policy and procedures.",Physical and environmental protection policy and procedures address the controls in the PE family.,None
PE-02,Physical and Environmental Protection,Physical Access Authorizations,"Develop approve and maintain list of individuals with authorized facility access; issue credentials; review access list periodically; remove individuals when access no longer required.",Authorization credentials include ID badges identification cards and smart cards.,None
PE-03,Physical and Environmental Protection,Physical Access Control,"Enforce physical access authorizations at entry and exit points; maintain access audit logs; control publicly accessible areas; escort visitors; secure keys and combinations.",Physical access control applies to employees and visitors.,PE-03(01): System access.
PE-06,Physical and Environmental Protection,Monitoring Physical Access,"Monitor physical access to detect and respond to physical security incidents; review access logs; coordinate with incident response.",Physical access monitoring includes publicly accessible areas within organizational facilities.,PE-06(01): Intrusion alarms and surveillance equipment.
PE-08,Physical and Environmental Protection,Visitor Access Records,"Maintain visitor access records for defined time period; review records periodically; report anomalies.",Visitor access records include names organizations signatures identification dates and purposes.,None
PE-10,Physical and Environmental Protection,Emergency Shutoff,"Provide capability of shutting off power in emergency situations; place switches in accessible locations; protect from unauthorized activation.",Emergency power shutoff primarily applies to facilities with concentrations of system resources.,None
PE-11,Physical and Environmental Protection,Emergency Power,"Provide uninterruptible power supply to facilitate orderly shutdown or transition to alternate power.",Short-term uninterruptible power supplies are primarily intended to provide time for orderly shutdown.,None
PE-12,Physical and Environmental Protection,Emergency Lighting,"Employ and maintain automatic emergency lighting that activates in event of power outage or disruption.",Emergency lighting covers interior and exterior areas within the facility.,None
PE-13,Physical and Environmental Protection,Fire Protection,"Employ and maintain fire detection and suppression systems that are supported by an independent energy source.",Fire detection and suppression systems reduce the risk of fire-related damage to organizational facilities.,PE-13(01)-PE-13(03): Detection systems; suppression systems; automatic notification.
PE-14,Physical and Environmental Protection,Environmental Controls,"Maintain temperature and humidity levels within facility; monitor environmental controls at defined frequency.",Environmental controls apply to all areas within organizational facilities.,PE-14(01)-PE-14(02): Automatic controls; monitoring with alarms.
PE-15,Physical and Environmental Protection,Water Damage Protection,"Protect the system from damage resulting from water leakage by providing master shutoff or isolation valves.",The provision of water damage protection primarily applies to organizational facilities.,None
PE-16,Physical and Environmental Protection,Delivery and Removal,"Authorize control and manage the entry and exit of defined system components; maintain records of system components.",Enforcing authorizations for entry and exit of system components may require restricting access to delivery areas.,None
PE-17,Physical and Environmental Protection,Alternate Work Site,"Determine and document alternate work sites; employ controls at alternate sites; assess effectiveness of controls.",Alternate work sites include government facilities or private residences of employees.,None
PL-01,Planning,Policy and Procedures,"Develop document and disseminate planning policy and procedures.",Planning policy and procedures address the controls in the PL family.,None
PL-02,Planning,System Security and Privacy Plans,"Develop security and privacy plans that define authorization boundary; describe operational context; identify individuals in defined roles; describe control implementation; are reviewed and approved.",System security and privacy plans are scoped to the system and system components.,PL-02(03): Plan and coordinate with other organizational entities.
PL-04,Planning,Rules of Behavior,"Establish and provide to individuals requiring access rules describing responsibilities and expected behavior; receive signed acknowledgment before authorizing access.",Rules of behavior represent an agreement between the user and the organization.,PL-04(01): Social media and external site/application usage restrictions.
PL-10,Planning,Baseline Selection,Select a control baseline for the system.,Control baselines provide a starting point for the control selection process.,None
PL-11,Planning,Baseline Tailoring,"Tailor the selected control baseline by applying specified tailoring actions.",The tailoring process includes identifying common controls and applying scoping considerations.,None
PS-01,Personnel Security,Policy and Procedures,"Develop document and disseminate personnel security policy and procedures.",Personnel security policy and procedures address the controls in the PS family.,None
PS-02,Personnel Security,Position Risk Designation,"Assign a risk designation to all organizational positions; establish screening criteria for individuals filling those positions; review and update designations.",Position risk designations reflect Office of Personnel Management policy and guidance.,None
PS-03,Personnel Security,Personnel Screening,"Screen individuals prior to authorizing access to the system; rescreen individuals per defined conditions.",Personnel screening and rescreening activities reflect applicable laws and regulations.,PS-03(03): Information requiring special protective measures.
PS-04,Personnel Security,Personnel Termination,"Upon termination of individual employment: disable system access within defined time period; terminate authenticators and credentials; conduct exit interviews; retrieve security-related property; retain access to information and systems formerly controlled by terminated individual.",Timely execution of termination actions is essential for individuals who have been terminated for cause.,None
PS-05,Personnel Security,Personnel Transfer,"Review and confirm ongoing operational need for current access authorizations when individuals are reassigned or transferred; initiate defined actions within defined time period; modify access authorization as needed.",Personnel transfer applies when reassignments or transfers are permanent.,None
PS-06,Personnel Security,Access Agreements,"Develop and document access agreements for organizational systems; review and update agreements periodically; ensure individuals have signed before being granted access.",Access agreements include nondisclosure agreements acceptable use agreements rules of behavior and conflict-of-interest agreements.,None
PS-07,Personnel Security,External Personnel Security,"Establish personnel security requirements for external provider personnel; require providers to comply with policies and procedures; document personnel security requirements; monitor provider compliance.",External provider personnel include service bureau contractors and other organizations providing system development and maintenance.,None
PS-08,Personnel Security,Personnel Sanctions,"Employ a formal sanctions process for individuals failing to comply with established security and privacy policies and procedures; notify defined personnel when a formal sanctions process is initiated.",The sanctions process is consistent with applicable laws and regulations.,None
RA-01,Risk Assessment,Policy and Procedures,"Develop document and disseminate risk assessment policy and procedures.",Risk assessment policy and procedures address the controls in the RA family.,None
RA-02,Risk Assessment,Security Categorization,"Categorize the system and information processed stored and transmitted; document the security categorization results in the security plan.",Security categories describe the potential adverse impacts to organizational operations and assets.,None
RA-03,Risk Assessment,Risk Assessment,"Conduct a risk assessment to identify threats vulnerabilities and risk to organizational operations assets individuals and other organizations; document risk assessment results; review and update periodically.",Risk assessments consider threats vulnerabilities likelihood and impact to organizational operations.,RA-03(01): Supply chain risk assessment.
RA-05,Risk Assessment,Vulnerability Monitoring and Scanning,"Monitor and scan for vulnerabilities in the system and hosted applications at defined frequency; employ vulnerability monitoring tools; analyze vulnerability scan reports; remediate legitimate vulnerabilities; share information from vulnerability monitoring.",Security categorization of information and systems guides the frequency and comprehensiveness of vulnerability monitoring.,RA-05(02)-RA-05(11): Update vulnerabilities; breadth and depth of coverage; privileged access; automated trend analyses.
RA-07,Risk Assessment,Risk Response,Respond to findings from security and privacy assessments monitoring and audits in accordance with organizational risk tolerance.,Organizations have many options for responding to risk including accepting avoiding mitigating sharing and transferring.,None
SA-01,System and Services Acquisition,Policy and Procedures,"Develop document and disseminate system and services acquisition policy and procedures.",System and services acquisition policy and procedures address the controls in the SA family.,None
SA-02,System and Services Acquisition,Allocation of Resources,"Determine the high-level information security and privacy requirements for the system; determine plan and document the resources required; include resources in capital planning.",Resource allocation includes funding for system security and privacy.,None
SA-03,System and Services Acquisition,System Development Life Cycle,"Acquire develop and manage the system using a system development life cycle that incorporates information security and privacy considerations.",A well-defined system development life cycle provides the foundation for the successful development implementation and operation.,None
SA-04,System and Services Acquisition,Acquisition Process,"Include security and privacy functional requirements in the acquisition contract; required design and development processes; required testing and evaluation procedures; required documentation.",The acquisition process documents include solicitation documents and contracts.,SA-04(01)-SA-04(10): Functional properties; design and implementation; development methods; dynamic code analysis.
SA-05,System and Services Acquisition,System Documentation,"Obtain or develop administrator documentation and user documentation for the system; document attempts to obtain unavailable documentation; protect documentation.",Administrator documentation includes documentation of configurable parameters.,None
SA-08,System and Services Acquisition,Security and Privacy Engineering Principles,Apply systems security and privacy engineering principles in the specification design development implementation and modification of the system.,Systems security and privacy engineering principles are closely related to and can be viewed as a generalization of security and privacy design principles.,None
SA-09,System and Services Acquisition,External System Services,"Require that providers of external system services comply with organizational security and privacy requirements; define and document oversight and user roles; employ defined processes to monitor compliance.",External system services are provided by an external provider and the organization has no direct control.,SA-09(02): Identification of functions ports protocols and services.
SA-10,System and Services Acquisition,Developer Configuration Management,"Require the developer of the system to perform configuration management during development implementation and operation; document approve and control changes; track security flaws.",Organizations consider the quality and completeness of configuration management activities.,None
SA-11,System and Services Acquisition,Developer Testing and Evaluation,"Require the developer to create and implement a security and privacy assessment plan; perform testing and evaluation at defined depth and coverage; produce evidence of execution; correct flaws.",Developmental testing and evaluation confirms that required controls are implemented correctly.,SA-11(01)-SA-11(08): Static code analysis; threat modeling; dynamic code analysis; manual code reviews.
SC-01,System and Communications Protection,Policy and Procedures,"Develop document and disseminate system and communications protection policy and procedures.",System and communications protection policy and procedures address the controls in the SC family.,None
SC-05,System and Communications Protection,Denial-of-Service Protection,"(a) [Selection: Protect against; Limit] the effects of the following types of denial-of-service events: [organization-defined types]; and (b) Employ [organization-defined controls by type of denial-of-service event] to achieve the denial-of-service objective.",Denial-of-service events may occur due to a variety of internal and external causes.,None
SC-07,System and Communications Protection,Boundary Protection,"(a) Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system; (b) Implement subnetworks for publicly accessible system components that are physically or logically separated from internal organizational networks; and (c) Connect to external networks or systems only through managed interfaces.",Managed interfaces include gateways routers firewalls guards and encrypted tunnels.,SC-07(03)-SC-07(29): Access points; external telecommunications services; deny by default; split tunneling; route traffic to proxy.
SC-08,System and Communications Protection,Transmission Confidentiality and Integrity,"Protect the [Selection (one or more): confidentiality; integrity] of transmitted information.",Protecting the confidentiality and integrity of transmitted information applies to internal and external communications.,SC-08(01): Cryptographic protection; SC-08(02): Pre- and post-transmission handling.
SC-10,System and Communications Protection,Network Disconnect,Terminate the network connection associated with a communications session at the end of the session or after a defined time period of inactivity.,Network disconnect applies to internal and external networks.,None
SC-12,System and Communications Protection,Cryptographic Key Establishment and Management,"Establish and manage cryptographic keys when cryptography is employed within the system in accordance with [organization-defined requirements for key generation, distribution, storage, access, and destruction].",Cryptographic key management and establishment can be performed using manual procedures or automated mechanisms.,SC-12(01): Availability.
SC-13,System and Communications Protection,Cryptographic Protection,"(a) Determine the [organization-defined cryptographic uses]; and (b) Implement the following types of cryptography required for each specified cryptographic use: [organization-defined types of cryptography for each specified cryptographic use].",Cryptography can be employed to support many security solutions.,None
SC-15,System and Communications Protection,Collaborative Computing Devices and Applications,"(a) Prohibit remote activation of collaborative computing devices and applications with the following exceptions: [organization-defined exceptions]; and (b) Provide an explicit indication of use to users physically present at the devices.",Collaborative computing devices and applications include remote meeting devices and applications networked white boards cameras and microphones.,None
